Country,Longitude,Latitude,projects,description,category
Botswana,24.684866,-22.328474,Study of Trade Policy Framework for Botswana (UNCTAD),"The specific objective of the project is to assist the Ministry of Trade and Industry (MTI) in reviewing the existing National Trade Policy and assessing the continued relevance or otherwise of the existing policy, and to suggest possible trade policy reform options and changes in maximising trade’s contribution to Botswana’s economy in the form of a draft revised National Trade Policy document for the period 2015-2020.","Policy & Negotiations, Export promotion & Strategy"
Burkina Faso,-1.561593,12.238333,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Burundi,29.918886,-3.373056,Independent Evaluation of Trade Mark East Africa (DFID),The purpose of this project is to identify and feed lessons learnt into the management of the remainder of the current programme and the design of any potential continuation of the TMEA programme and future regional trade integration programmes. The evaluation will provide evidence on trade and development that is more widely of interest also.,Impact Assessment
Burundi,29.918886,-3.373056,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Burundi,29.918886,-3.373056,Targeted Support to the EAC for the Implementation of the Tripartite FTA Agreement-Trade Policy and Export Development to the EU Market (EDF/TradeCom II),"The project is to provide a range of highly specialised technical and legal services to the Customs and Trade Directorate of the EAC. These services involve: 
The provision of technical and legal support to the Directorate of Customs and Trade of the EAC States; 
Provision of capacity building and tripartite awareness services to the target audiences; 
Preparation of strategic and technical reports in the areas covered by the terms of reference.","Impact Assessment, Export promotion & strategy"
Cambodia,104.990963,12.565679,Identification and Formulation of the Cambodian Envelope of Support to ASEAN (EC),"The overall objective of the assignment is to assist the Delegation of the European Union to Cambodia in the identification and formulation of a trade-related assistance programme for Cambodia, which will strengthen the capacity of Cambodia to further the Government’s current national and regional trade programmes and enhance the trade facilitation and logistics policies and plans.","Export promotion & strategy, Impact Assessment"
Cambodia,104.990963,12.565679,Support on the Coordination of Stakeholder Engagement and Monitoring of CTISU Implementation (GIZ),"This project aims to support greater connectivity and economic integration between Cambodia and the rest of ASEAN through  trade facilitation and standards, institutional and human capacities development for the formulation and implementation of trade-related policies, enhancement of private sector engagement, notably SMEs, and better preparedness for the development of the ASEAN Economic Community (AEC) into a seamless, single economic space.","Trade Facilitation, Economic Development, Standards/Technical Regulations/Quality/Certification, Regional integration, ASEAN"
Cambodia,104.990963,12.565679,Technical cooperation with Cambodia ASEAN Regional Integration Support – Cambodia Trade Related Assistance (ARISE Plus Cambodia) (GIZ),"This project is a component of the ARISE Plus Cambodia project, which is being implemented by GIZ and aims to support greater connectivity and economic integration between Cambodia and the rest of ASEAN through implementing the AEC Blueprint 2025 and strengthening institutional capacity with the main direct beneficiaries being; MoC, the Ministry of Economy and Finance (MEF), including the General Directorate of Customs and Excise (GDCE) and selected other public and private entities. 
International Economics is assisting in implementation of result area that deals with: Enhancing Private Sector Engagement. The services are divided into three broad categories and include SME Export Development, Enhancing Access to Trade Information, and Strengthening the Advocacy Capacities of Business Associations in Cambodia.",Export promotion & strategy
Cambodia,104.990963,12.565679,"Trade Finance Chapter for the Cambodia Trade Integration Strategy Update 2019-2023 (CTISU 2019-2023) (MOC, Cambodia Government)",The overall objective of the project is to provide an update on the CTIS and TradeSWAp to track progress of the ongoing measures and to help in policy design. The original DTIS of Cambodia was prepared in 2001 and has been updated a number of times since.,"Export promotion & strategy, Policy & Negotiations"
China,104.195397,35.86166,Partnership for Investment and Growth in Africa-PIGA (DFID/ITC),"The project aims at increasing sustainable incomes in selected African partner countries through exports and investment promotion, as well as enhancing integration of African SMEs into global value chains.","Export promotion & strategy, Investment, Impact Assessment"
China,104.195397,35.86166,Scoping mission for a Trade Related Assistance project to Mongolia (EC),"The overall objective was to undertake a diagnostic of the trade-related framework and performance in Mongolia, and to formulate proposals for EU support in a Trade Related Assistance project for Mongolia.  
The specific objective was to prepare the design of a project that will support the efforts of the Mongolian government to improve the country’s performance in external trade by developing adequate capacities and policies.","Policy & Negotiations, Export promotion & Strategy"
Comoros,43.872219,-11.875001,Expanding Trade and Investment Plans (ETIPs) in the East and Southern African Region (TAF2+),"The objective is to prepare a regional ETIP, comprising sets of clear and costed programme documents suggesting how to increase trade with key trading partners and ultimately increase the development impact of the EPAs.",Export promotion & strategy
Comoros,43.872219,-11.875001,Study of the Impact of the “Brexit” on the EU-ESA Trade and Investment relations (IOC),"Due to the strong economic, social, and legislative interconnections of the United Kingdom with the EU, Brexit has left many questions, a path full of uncertainty and unknown effects, due to the fact that no independent state has ever before tried to exit the EU. It is likely that the implications of Britain’s decision to leave the EU will have direct consequences for trade, services, investments and development finance assistance in the ESA-IO region. Therefore, the overall objective of the study is to analyse the impact of Brexit on the EU-ESA trade and economic relationship.   ",Impact Assessment
Congo,21.758664,-4.038333,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Congo,21.758664,-4.038333,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Cook Islands,-159.777671,-21.236736,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Curaçao,-68.990021,12.16957,Strategic Development Roadmap (STDR) for Curaçao (ITC),"ITC aims to help Curaçao increase and diversify its export base, thereby strengthening the island’s economic resilience through the formulation of a National Export Strategy (NES).  
International Economics helped in creating the first output for the NES for Curaçao that includes a Strategic Development Roadmap (STDR) setting the NES priorities. This included drafting the following sections: vision and strategic objectives, criteria for the selection of sectors, justification for the selection of the priority sectors, and justification for the selection of the trade-support-functions along with the plan of action for the key competitiveness constraints.",Export promotion & strategy
Djibouti,42.590275,11.825138,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Ethiopia,40.489673,9.145,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Ethiopia,40.489673,9.145,Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa (DFID),"In 2013 DFID approved the programme Supporting Indian Trade and Investment for Africa (SITA Africa), DFID’s first South-South Aid for Trade (AfT) and value chain development programme. The purpose of SITA Africa is to harness Indian resources (knowledge, technology, capital) to increase higher value-added exports from selected African countries to the Indian market, and also third markets. The overall objective of this assignment is to estimate SITA’s contribution to programme outcomes and determine its overall impact.","Impact Assessment, Export promotion & strategy"
Ethiopia,40.489673,9.145,Partnership for Investment and Growth in Africa-PIGA (DFID/ITC),"The project aims at increasing sustainable incomes in selected African partner countries through exports and investment promotion, as well as enhancing integration of African SMEs into global value chains.","Export promotion & strategy, Investment, Impact Assessment"
Fiji,179.414413,-16.578193,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Fiji,179.414413,-16.578193,Independent Monitoring and Evaluation of the Pacific Agreement on Closer Economic Relations Plus (Pacer Plus) (New Zealand Ministry of Foreign Affairs and Trade - MFAT),The overall objective of this project is to provide technical assistance to New Zealand’s Ministry of Foreign Affairs and Trade (MFAT) to design an overarching monitoring and evaluation framework for the Pacific Agreement on Closer Economic Relations Plus (PACER Plus) and associated initiatives (PACER Plus Agreement; DEC Programme; Aid for Trade; and the Labour Mobility Arrangement).,Impact Assessment
Fiji,179.414413,-16.578193,Targeted assistance for the development of an enabling environment for e-commerce in the Pacific Region (TradeCom II),To contribute to sustainable economic development and poverty reduction in the Pacific through addressing the obstacles which undermine the development of e-Commerce.,"E-Commerce / Digital Trade, Policy & Negotiations"
Fiji,179.414413,-16.578193,"Targeted Support to PIFS to build capacity for Mainstreaming Trade Policy Frameworks (TPFs) and overall Trade Agenda in the Pacific Region, and to Niue for the Implementation of its TPF (EDF/TradeCom II)",The overall objective of the project of which this contract is a part is to contribute to sustainable economic development and poverty reduction in the Pacific Island Forum (PIF) countries through closer regional economic integration and increased participation in the global economy.,Policy & Negotiations
French Polynesia,-149.406843,-17.679742,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Georgia,43.356892,42.315407,Eastern Partnership: Ready to Trade - an EU4Business Initiative (EC),The overall objective of the project is to help small and medium-sized enterprises (SMEs) from Eastern Partnership countries integrate into global value chains and access new markets with a focus on the European Union (EU).,"Impact Assessment, Export promotion & strategy, Asia"
Ghana,-1.023194,7.946527,"""Compete Ghana"" - Technical Assistance to the Ministry of Trade and Industry in the implementation of the Stepping Stone Economic Partnership Agreement (iEPA) and related Accompanying Measures (EC)","The overall objective of the project is, in the context of the Ghana Beyond Aid vision, to improve economic governance and the local business environment and to maximise the benefits of the Economic Partnership Agreement (EPA) for Ghana.",Impact Assessment
Ghana,-1.023194,7.946527,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Grenada,-61.604171,12.262776,Grenada National Export Strategy Review and Strategic Options for Export Development (Commonwealth Secretariat),"Stage 1: Review of the National Export Strategy (2006-2011)  
Assess the process of NES formulation – review documentation and interview key stakeholders to establish whether the process undertaken in the NES design was effective.  
Stage 2: Developing the Strategic Options Paper for export development","Export promotion & strategy, Impact Assessment"
India,78.96288,20.593684,Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa (DFID),"In 2013 DFID approved the programme Supporting Indian Trade and Investment for Africa (SITA Africa), DFID’s first South-South Aid for Trade (AfT) and value chain development programme. The purpose of SITA Africa is to harness Indian resources (knowledge, technology, capital) to increase higher value-added exports from selected African countries to the Indian market, and also third markets. The overall objective of this assignment is to estimate SITA’s contribution to programme outcomes and determine its overall impact.","Impact Assessment, Export promotion & strategy"
India,78.96288,20.593684,Preparation of the Concept Note for the African Green Revolution Forum (ITC),The overall objective of the assignment is to provide technical advice to the ITC coordination meetings with potential partners in preparing a concept note for the African Green Revolution Forum.,"Export promotion & strategy, Impact Assessment"
India,78.96288,20.593684,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
India,78.96288,20.593684,Studies in impact of India’s Tariffs on UK-India Trade (FCO),"Conduct a detailed statistical analysis to provide a full picture of the economic impact to both India and the UK of the existing Indian tariff structure. It should identify specific tariff lines that, if reduced, would be the most mutually beneficial to both economies. The study should also consider existing precedents and case studies of tariff reductions offered by India (or comparable countries) that have delivered economic benefits to the countries involved.","Trade promotion & Strategy, Impact Assessment"
Indonesia,113.921327,-0.789275,Sustainable Impact Assessment for an EU-Indonesia FTA (EC),"The overall objective of the project is to undertake an analysis of the sustainability impacts arising from the negotiations of a FTA between the EU and the partner country, in this case, Indonesia. This is necessary to enable the EU to pursue an approach which brings the greatest overall welfare gains, thereby helping the EU meet its objectives of creating economic growth, enhancing social inclusion and promoting sustainable development throughout the world.",Impact Assessment
Indonesia,113.921327,-0.789275,Technical Assistance to the ASEAN Regional Integration Support – Indonesia Trade Related Assistance (ARISE Plus Indonesia) (EC),The ultimate objective of the project is to provide technical assistance for the implementation of the ARISE Plus Indonesia programme aimed at enhancing Indonesia's capacity to boost trade performance and competitiveness.,Export promotion & strategy
Ivory Coast,-5.54708,7.539989,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Ivory Coast,-5.54708,7.539989,Cote d’Ivoire’s Regional Integration and Trade Support Programme (ITC),"The Overall Objective of the project is to improve Ivory Coast’s business environment, strengthen its economy´s competitiveness, and facilitate its integration in regional and global economies. 
The aim of the project was to draft and support the formulation of a National Export Strategy (NES), including strategic plans over five years",Export promotion & strategy
Kazakhstan,66.923684,48.019573,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Kenya,37.906193,-0.023559,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Kenya,37.906193,-0.023559,Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa (DFID),"In 2013 DFID approved the programme Supporting Indian Trade and Investment for Africa (SITA Africa), DFID’s first South-South Aid for Trade (AfT) and value chain development programme. The purpose of SITA Africa is to harness Indian resources (knowledge, technology, capital) to increase higher value-added exports from selected African countries to the Indian market, and also third markets. The overall objective of this assignment is to estimate SITA’s contribution to programme outcomes and determine its overall impact.","Impact Assessment, Export promotion & strategy"
Kenya,37.906193,-0.023559,Independent Evaluation of Trade Mark East Africa (DFID),The purpose of this project is to identify and feed lessons learnt into the management of the remainder of the current programme and the design of any potential continuation of the TMEA programme and future regional trade integration programmes. The evaluation will provide evidence on trade and development that is more widely of interest also.,Impact Assessment
Kenya,37.906193,-0.023559,NTF III Kenya - Enhancing Export Competitiveness of the Avocado sector in Kenya (ITC),"The purpose of the project was to revise and update the Commodity Business Plan (CBP) for avocado, which was developed within the framework of ITC’s Netherlands Trust Fund (NTF) II Kenya project. The revised document, including an “Action Plan”, complements the previous plan and provides a new vision for the avocado industry to take advantage of market opportunities. The Action Plan delineates specific tasks to be accomplished in terms of market entry, product quality management, pricing, distribution and promotion. It clearly identifies specific roles and responsibilities of each actor and defines an implementation timeframe.","Impact Assessment, Export promotion & strategy"
Kenya,37.906193,-0.023559,Partnership for Investment and Growth in Africa-PIGA (DFID/ITC),"The project aims at increasing sustainable incomes in selected African partner countries through exports and investment promotion, as well as enhancing integration of African SMEs into global value chains.","Export promotion & strategy, Investment, Impact Assessment"
Kenya,37.906193,-0.023559,Preparation of the Concept Note for the African Green Revolution Forum (ITC),The overall objective of the assignment is to provide technical advice to the ITC coordination meetings with potential partners in preparing a concept note for the African Green Revolution Forum.,"Export promotion & strategy, Impact Assessment"
Kenya,37.906193,-0.023559,Targeted Support to the EAC for the Implementation of the Tripartite FTA Agreement-Trade Policy and Export Development to the EU Market (EDF/TradeCom II),"The project is to provide a range of highly specialised technical and legal services to the Customs and Trade Directorate of the EAC. These services involve: 
The provision of technical and legal support to the Directorate of Customs and Trade of the EAC States; 
Provision of capacity building and tripartite awareness services to the target audiences; 
Preparation of strategic and technical reports in the areas covered by the terms of reference.","Impact Assessment, Export promotion & strategy"
Kiribati,-168.734039,-3.370417,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Kyrgyz Republic,74.766098,41.20438,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
La Reunion,55.536384,-21.115141,Definition of a Sustainability and Development Plan for the Union of Chambers of Commerce and Industry of the Indian Ocean (UCCIOI),"The objective of this mission is to strengthen and support the Union des Chambres de Commerce et d’Industrie de l’Océan Indien’s (UCCIOI) role in favor of economic growth within the Indian Ocean Region, including taking into account the following issues: the promotion of the Indian Ocean region; the facilitation of international economic partnerships; and the co-development and common strategies to reach external markets. ",Export promotion & strategy
La Reunion,55.536384,-21.115141,Study of the Impact of the “Brexit” on the EU-ESA Trade and Investment relations (IOC),"Due to the strong economic, social, and legislative interconnections of the United Kingdom with the EU, Brexit has left many questions, a path full of uncertainty and unknown effects, due to the fact that no independent state has ever before tried to exit the EU. It is likely that the implications of Britain’s decision to leave the EU will have direct consequences for trade, services, investments and development finance assistance in the ESA-IO region. Therefore, the overall objective of the study is to analyse the impact of Brexit on the EU-ESA trade and economic relationship.   ",Impact Assessment
Lao PDR,102.495496,19.85627,Development of an Action Plan for Drafting and Adopting the E-Commerce Law in Lao PDR (GIZ),"This project comprises the second phase of the Regional Economic Integration of Laos into ASEAN, Trade and Entrepreneurship Development (RELATED) project, which has the Overall Objective of improving the ASEAN Economic Community (AEC)-related policy framework conditions and the capacities of the business sector for sustainably using economic potentials arising from Laos’ integration into the AEC.","E-Commerce / Digital Trade, Policy & Negotiations"
Lesotho,28.233608,-29.609988,Rapid E-Trade Readiness Assessment of Lesotho (UNCTAD),"The Overall Objective is to assess e-Trade readiness and to map out e-Trade related needs in an inclusive approach (public, private sector, civil society, development partners) with sound participation of local stakeholders, including the Government.",E-Commerce / Digital Trade
Lesotho,28.233608,-29.609988,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Lesotho,28.233608,-29.609988,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Madagascar,46.869107,-18.766947,Definition of a Sustainability and Development Plan for the Union of Chambers of Commerce and Industry of the Indian Ocean (UCCIOI),"The objective of this mission is to strengthen and support the Union des Chambres de Commerce et d’Industrie de l’Océan Indien’s (UCCIOI) role in favor of economic growth within the Indian Ocean Region, including taking into account the following issues: the promotion of the Indian Ocean region; the facilitation of international economic partnerships; and the co-development and common strategies to reach external markets. ",Export promotion & strategy
Madagascar,46.869107,-18.766947,E-Trade Readiness Assessment of Madagascar (UNCTAD),"The Overall Objective is to assess e-Trade readiness and to map out e-Trade related needs in an inclusive approach (public, private sector, civil society, development partners) with sound participation of local stakeholders, including the Government.",E-Commerce / Digital Trade
Madagascar,46.869107,-18.766947,Expanding Trade and Investment Plans (ETIPs) in the East and Southern African Region (TAF2+),"The objective is to prepare a regional ETIP, comprising sets of clear and costed programme documents suggesting how to increase trade with key trading partners and ultimately increase the development impact of the EPAs.",Export promotion & strategy
Madagascar,46.869107,-18.766947,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
